userName,major,researchExp,industryExp,specialization,toeflScore,program,department,toeflEssay,internExp,greV,greQ,userProfileLink,journalPubs,greA,topperCgpa,termAndYear,confPubs,ugCollege,gmatA,cgpa,gmatQ,cgpaScale,gmatV
masamune42,Electrical Engineering,0,0,DSP Wireless Communications,108,MS,ECE,28,0,550,800,http://www.edulix.com/unisearch/user.php?uid=162224,0,3,9.5,Fall - 2013,0,NITK Surathkal,,8.2,,10,
karanthakral,Computer Science,0,0,,104,MS,Information Technology,,0,580,800,http://www.edulix.com/unisearch/user.php?uid=9719,0,,9,Fall - 2011,0,NITK Surathkal,,7.8,,10,
shashank.kris,Computer Science,0,0,Systems and Network,107,MS,CSE,30,0,151,168,http://www.edulix.com/unisearch/user.php?uid=134834,0,3.5,86,Fall - 2012,0,NITK Surathkal,,79,,100,
devdevraj,Electrical Engineering,0,0,Comm n Signal Processing,293,MS,EnC,6,0,720,740,http://www.edulix.com/unisearch/user.php?uid=392,0,6,88,Fall - 2006,0,NITK Surathkal,,88,,100,
lannister,Operations Research,0,0,,114,MS,EEE,5,0,162,165,http://www.edulix.com/unisearch/user.php?uid=170583,0,5,9,Fall - 2013,0,NITK Surathkal,,7.57,,10,
therockpplschamp,Civil Engineering,0,0,,108,MS,civil,,0,160,164,http://www.edulix.com/unisearch/user.php?uid=183867,0,4,9.3,Fall - 2013,0,NITK Surathkal,,7.1,,10,
harshtarang,Computer Science,0,0,,110,MS,Information Technology,,0,158,169,http://www.edulix.com/unisearch/user.php?uid=151312,0,,9.6,Fall - 2013,0,NITK Surathkal,,7.27,,10,
nimitdhagat,Industrial Engineering,0,0,,94,MS,Mechanical Engineering,,0,143,164,http://www.edulix.com/unisearch/user.php?uid=151085,0,3,0,Fall - 2012,0,NITK Surathkal,,7.41,,10,
am2993,Computer Engineering,0,0,Computer Architecture,101,PhD,Computer Engineering,,0,650,780,http://www.edulix.com/unisearch/user.php?uid=8623,0,4,0,Fall - 2011,0,NITK Surathkal,,3.9,,4,
abhirup_dutta,Computer Science,0,0,Networks,118,MS,Computer Engg,,0,760,800,http://www.edulix.com/unisearch/user.php?uid=156614,0,4.5,0,Fall - 2012,0,NITK Surathkal,,8.65,,10,
Shilpa KR,Electronics and Communication,0,0,VLSI / Computer Architecture,117,MS,ECE,,0,164,168,http://www.edulix.com/unisearch/user.php?uid=200906,0,5,9.72,Fall - 2014,0,NITK Surathkal,,9.51,,10,
